date,Qobs,Qb_o_o,Qb_o_09,Qb_o_omedian,Qb_m_09,Qb_m_o,Qb_m_omedian,Qb_Af_09,Qb_Af_o,Qb_Af_omedian
1987-08-12,3.59671481166808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-08-13,3.59671481166808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-08-14,3.59671481166808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-08-15,3.93656188048711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-08-16,4.64457660719343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-08-17,4.24808836023789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-08-18,3.96488246955537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-08-19,3.73831775700935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-08-20,3.59671481166808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-08-21,3.48343245539507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-08-22,3.20022656471255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-08-23,3.05862361937128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-08-24,3.00198244123478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-08-25,2.94534126309827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-08-26,2.86037949589351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-08-27,2.83205890682526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-08-28,2.77541772868876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-08-29,2.690455961484,NaN,2.690455961484,NaN,2.690455961484,NaN,NaN,2.690455961484,NaN,NaN
1987-08-30,2.66213537241575,NaN,2.66213537241575,NaN,2.66213537241575,NaN,NaN,2.66213537241575,NaN,NaN
1987-08-31,2.63381478334749,NaN,2.63381478334749,NaN,2.63381478334749,NaN,NaN,2.63381478334749,NaN,NaN
1987-09-01,2.60549419427924,NaN,2.60549419427924,NaN,2.60549419427924,NaN,NaN,2.60549419427924,NaN,NaN
1987-09-02,2.57717360521099,NaN,2.57717360521099,NaN,2.57717360521099,NaN,NaN,2.57717360521099,NaN,NaN
1987-09-03,2.66213537241575,NaN,2.56018125177004,NaN,2.56018125177004,NaN,NaN,2.56018125177004,NaN,NaN
1987-09-04,2.66213537241575,NaN,2.54318889832909,NaN,2.54318889832909,NaN,NaN,2.54318889832909,NaN,NaN
1987-09-05,2.57717360521099,NaN,2.52619654488813,NaN,2.52619654488813,NaN,NaN,2.52619654488813,NaN,NaN
1987-09-06,2.52053242707448,NaN,2.50920419144718,NaN,2.50920419144718,NaN,NaN,2.50920419144718,NaN,NaN
1987-09-07,2.49221183800623,NaN,2.49221183800623,NaN,2.49221183800623,NaN,NaN,2.49221183800623,NaN,NaN
1987-09-08,2.52053242707448,NaN,2.46389124893798,NaN,2.46389124893798,NaN,NaN,2.46389124893798,NaN,NaN
1987-09-09,2.57717360521099,NaN,2.43557065986973,NaN,2.43557065986973,NaN,NaN,2.43557065986973,NaN,NaN
1987-09-10,2.54885301614274,NaN,2.40725007080147,NaN,2.40725007080147,NaN,NaN,2.40725007080147,NaN,NaN
1987-09-11,2.49221183800623,NaN,2.37892948173322,NaN,2.37892948173322,NaN,NaN,2.37892948173322,NaN,NaN
1987-09-12,2.35060889266497,NaN,2.35060889266497,NaN,2.35060889266497,NaN,NaN,2.35060889266497,NaN,NaN
1987-09-13,2.32228830359671,2.32228830359671,2.32228830359671,2.32228830359671,2.32228830359671,2.32228830359671,2.32228830359671,2.32228830359671,2.32228830359671,2.32228830359671
1987-09-14,2.37892948173322,2.31284810724063,2.31824250515839,2.31139576933969,2.31824250515839,2.31284810724063,2.31139576933969,2.31824250515839,2.31284810724063,2.31139576933969
1987-09-15,2.43557065986973,2.30340791088455,2.31419670672007,2.30050323508267,2.31419670672007,2.30340791088455,2.30050323508267,2.31419670672007,2.30340791088455,2.30050323508267
1987-09-16,2.43557065986973,2.29396771452846,2.31015090828175,2.28961070082565,2.31015090828175,2.29396771452846,2.28961070082565,2.31015090828175,2.29396771452846,2.28961070082565
1987-09-17,2.49221183800623,2.28452751817238,2.30610510984343,2.27871816656863,2.30610510984343,2.28452751817238,2.27871816656863,2.30610510984343,2.28452751817238,2.27871816656863
1987-09-18,2.43557065986973,2.27508732181629,2.30205931140511,2.26782563231161,2.30205931140511,2.27508732181629,2.26782563231161,2.30205931140511,2.27508732181629,2.26782563231161
1987-09-19,2.32228830359671,2.26564712546021,2.29801351296678,2.25693309805459,2.29801351296678,2.26564712546021,2.25693309805459,2.29801351296678,2.26564712546021,2.25693309805459
1987-09-20,2.29396771452846,2.25620692910413,2.29396771452846,2.24604056379757,2.29396771452846,2.25620692910413,2.24604056379757,2.29396771452846,2.25620692910413,2.24604056379757
1987-09-21,2.29396771452846,2.24676673274804,2.27508732181629,2.23514802954055,2.27508732181629,2.24676673274804,2.23514802954055,2.27508732181629,2.24676673274804,2.23514802954055
1987-09-22,2.35060889266497,2.23732653639196,2.25620692910413,2.22425549528353,2.25620692910413,2.23732653639196,2.22425549528353,2.25620692910413,2.23732653639196,2.22425549528353
